Sciname,Group,Common,EwE_name,EwE_num,AspectRatio,CommonLength,Swim_mode,Base_rate,Scaled_RD,Scaled_SS,Scaler_Snook,Scaled_avg,Scaler_sd
haemulon bonariense,reef-rubble-associated invertebrate feeders,BLACK GRUNT,Reef invertebrate feeders,46,2.55808,30,0,1.69471,35,31,30,32,1
haemulon carbonarium,reef-rubble-associated invertebrate feeders,CAESAR GRUNT,Reef invertebrate feeders,46,2.67007,20,0,1.33802,27,24,24,25,1
haemulon chrysargyreum,reef-rubble-associated invertebrate feeders,SMALLMOUTH GRUNT,Reef invertebrate feeders,46,1.44823,17,0,0.97797,20,18,17,18,0
haemulon flavolineatum,reef-rubble-associated invertebrate feeders,FRENCH GRUNT,Reef invertebrate feeders,46,2.31048,17,0,1.15049,24,21,21,22,1
haemulon macrostomum,reef-rubble-associated invertebrate feeders,SPANISH GRUNT,Reef invertebrate feeders,46,2.15596,25,0,1.42628,29,26,25,27,1
haemulon melanurum,reef-rubble-associated invertebrate feeders,COTTONWICK,Reef invertebrate feeders,46,1.73541,25,0,1.3226,27,24,24,25,1
haemulon parra,reef-rubble-associated invertebrate feeders,SAILORS CHOICE,Reef invertebrate feeders,46,2.27492,30,0,1.62696,33,29,29,31,1
haemulon plumierii,reef-rubble-associated invertebrate feeders,WHITE GRUNT,Reef invertebrate feeders,46,2.99803,30,0,1.79089,37,32,32,34,1
haemulon sciurus,reef-rubble-associated invertebrate feeders,BLUESTRIPED GRUNT,Reef invertebrate feeders,46,2.4678,25,0,1.49489,31,27,27,28,1
haemulon striatum,reef-rubble-associated invertebrate feeders,STRIPED GRUNT,Reef invertebrate feeders,46,2.75208,17,0,1.22264,25,22,22,23,1
halichoeres radiatus,reef-rubble-associated invertebrate feeders,PUDDINGWIFE,Reef invertebrate feeders,46,1.49584,40,0,1.68059,34,30,30,32,1
hemanthias leptus,reef-rubble-associated invertebrate feeders,"BASS, LONGTAIL",Reef invertebrate feeders,46,1.25599,35,0,1.4559,30,26,26,27,1
