EwE_num,EwE_name,Common,Sciname
18,Pelagic coastal piscivores,white suckerfish,remorina albescens
18,Pelagic coastal piscivores,remora,rhombochirus sp
18,Pelagic coastal piscivores,salmon,salmo salar
18,Pelagic coastal piscivores,salmon,salmonidae
18,Pelagic coastal piscivores,trout,salmonidae
18,Pelagic coastal piscivores,pacific bonito,sarda chiliensis
18,Pelagic coastal piscivores,striped bonito,sarda orientalis
18,Pelagic coastal piscivores,bonito,sarda spp
18,Pelagic coastal piscivores,blue mackerel,scomber australasicus
18,Pelagic coastal piscivores,atlantic chub mackerel,scomber colias
18,Pelagic coastal piscivores,pacific chub mackerel,scomber japonicus
18,Pelagic coastal piscivores,mackerel,scomber sp
18,Pelagic coastal piscivores,longfin yellowtail,seriola rivoliana
18,Pelagic coastal piscivores,californian needlefish,strongylura exilis
18,Pelagic coastal piscivores,needlefish,strongylura sp
18,Pelagic coastal piscivores,timucu,strongylura timucu
18,Pelagic coastal piscivores,cape horse mackerel,trachurus capensis
18,Pelagic coastal piscivores,greenback horse mackerel,trachurus declivis
18,Pelagic coastal piscivores,african horse mackerel,trachurus delagoa
18,Pelagic coastal piscivores,japanese horse mackerel,trachurus japonicus
18,Pelagic coastal piscivores,mediterranean horse mackerel,trachurus mediterraneus
18,Pelagic coastal piscivores,chilean jack mackerel,trachurus murphyi
18,Pelagic coastal piscivores,blue jack mackerel,trachurus picturatus
18,Pelagic coastal piscivores,horse mackerel,trachurus sp
18,Pelagic coastal piscivores,pacific jack mackerel,trachurus symmetricus
18,Pelagic coastal piscivores,atlantic horse mackerel,trachurus trachurus
18,Pelagic coastal piscivores,cunene horse mackerel,trachurus trecae
18,Pelagic coastal piscivores,pacific agujon needlefish,tylosurus acus pacificus
18,Pelagic coastal piscivores,hound needlefish,tylosurus crocodlius
18,Pelagic coastal piscivores,needlefish,tylosurus sp
19,Amberjack,amberjack,seriola
19,Amberjack,amberjack genus,seriola
19,Amberjack,amberjack genus,seriola spp
19,Amberjack,"amberjack, greater",seriola dumerili
19,Amberjack,"amberjack, lesser",seriola fasciata
19,Amberjack,greater amberjack,seriola dumerili
19,Amberjack,lesser amberjack,seriola fasciata
19,Amberjack,yellowtail amberjack,seriola lalandi
20,Cobia,cobia,rachycentron canadum
"21,22",King mackerel (0-1yr),king mackerel,scomberomorus cavalla
"21,22",King mackerel (1+yr),king mackerel (juvenile),scomberomorus cavalla
"21,22",King mackerel (1+yr),king mackerel (adult),scomberomorus cavalla
"23,24",Spanish mackerel (0-1yr),"mackerel, spanish",scomberomorus maculatus
"23,24",Spanish mackerel (0-1yr),spanish mackerel,scomberomorus maculatus
"23,24",Spanish mackerel (1+yr),atlantic spanish mackerel (juvenile),scomberomorus maculatus
"23,24",Spanish mackerel (1+yr),atlantic spanish mackerel (adult),scomberomorus maculatus
25,Skates-rays,atlantic guitarfish,rhinobatos lentiginosus
25,Skates-rays,atlantic stingray,dasyatis sabina
25,Skates-rays,bluntnose stingray,dasyatis say
25,Skates-rays,bullnose ray,myliobatis freminvillei
25,Skates-rays,butterfly ray genus,gymnura
25,Skates-rays,butterfly ray genus,gymnura spp
25,Skates-rays,chain dogfish,scyliorhinus retifer
25,Skates-rays,clearnose skate,raja eglanteria
25,Skates-rays,cownose ray,rhinoptera bonasus
25,Skates-rays,devil ray,mobula hypostoma
25,Skates-rays,eagle ray family,myliobatidae
25,Skates-rays,electric ray family,torpedinidae
25,Skates-rays,largetooth sawfish,pristis pristis
25,Skates-rays,lesser electric ray,narcine brasiliensis
25,Skates-rays,nurse shark,ginglymostoma cirratum
25,Skates-rays,"ray,stingrays",rajiformes
25,Skates-rays,rays,rajiformes
25,Skates-rays,roughtail stingray,dasyatis centroura
25,Skates-rays,roundel skate,raja texana
25,Skates-rays,sawfish family,pristis
25,Skates-rays,"sawfish, smalltooth",pristis pectinata
25,Skates-rays,skate genus,raja spp
25,Skates-rays,skate genus,raja
25,Skates-rays,"skate, unidentified",na
25,Skates-rays,skates,rajidae
25,Skates-rays,smalltooth sawfish,pristis pectinata
25,Skates-rays,smooth butterfly ray,gymnura micrura
25,Skates-rays,southern eagle ray,myliobatis goodei
25,Skates-rays,southern stingray,dasyatis americana
25,Skates-rays,southern stringray,na
25,Skates-rays,spiny butterfly ray,gymnura altavela
25,Skates-rays,spotted eagle ray,aetobatus narinari
25,Skates-rays,stingray family,dasyatidae
25,Skates-rays,stingray genus,dasyatis
25,Skates-rays,stingray genus,dasyatis spp
25,Skates-rays,"stingray, unidentified",na
25,Skates-rays,unidentified skate or ray,rajiformes
25,Skates-rays,wobbegong family,na
25,Skates-rays,yellow stingray,urolophus jamaicensis
25,Skates-rays,eagle ray,aetobatis narinari
25,Skates-rays,shovelnose ray,aptychotrema sp
25,Skates-rays,batoid,batoidea
25,Skates-rays,cape elephantfish,callorhinchus capensis
25,Skates-rays,stingray,dasyatidae
25,Skates-rays,longnose stingray,dasyatis guttata
25,Skates-rays,marbled stingray,dasyatis marmorata
25,Skates-rays,stingray,dasyatis sp
25,Skates-rays,stingray,dasytidae
25,Skates-rays,australian butterfly ray,gymnura australis
25,Skates-rays,backwater butterflyray,gymnura natalensis
25,Skates-rays,butterfly ray,gymnuridae
25,Skates-rays,lined catshark,halaelurus lineatus
25,Skates-rays,tiger catshark,halaelurus natalensis
25,Skates-rays,brown shyshark,haploblepharus fuscus
25,Skates-rays,honeycomb stingray,himantura uarnak
25,Skates-rays,little skate,leucoraja erinacea
25,Skates-rays,devil ray,mobula sp
25,Skates-rays,eagle ray,myliobatidae
25,Skates-rays,myliobatiform,myliobatiformes
25,Skates-rays,common eagle ray,myliobatis aquila
